Timestamp ,X ,Y ,Z
1675285747.9187737 ,[0.03433135] ,[0.44231771] ,[0.08486426]
1675285747.9399219 ,[0.03447881] ,[0.43883734] ,[0.08457443]
1675285747.9600494 ,[0.03429353] ,[0.44085556] ,[0.08462609]
1675285747.978555 ,[0.03414534] ,[0.4424701] ,[0.0846737]
1675285747.9968812 ,[0.03433004] ,[0.43895984] ,[0.08439894]
1675285748.0162518 ,[0.0344778] ,[0.436152] ,[0.08414579]
1675285748.0351737 ,[0.03459601] ,[0.4339061] ,[0.08391254]
1675285748.0574808 ,[0.0343161] ,[0.4271393] ,[0.08364409]
1675285748.0766509 ,[0.03409221] ,[0.42172664] ,[0.08339676]
1675285748.0953789 ,[0.03368744] ,[0.4318399] ,[0.08398443]
1675285748.1151273 ,[0.03336368] ,[0.43993008] ,[0.08452592]
1675285748.1360264 ,[0.03333039] ,[0.43192757] ,[0.08434535]
1675285748.1569607 ,[0.03337504] ,[0.43529761] ,[0.084548]
1675285748.1776638 ,[0.03341078] ,[0.4379936] ,[0.08473473]
1675285748.1961613 ,[0.0334394] ,[0.44018205] ,[0.0847738]
1675285748.2167478 ,[0.03346231] ,[0.44193278] ,[0.08480981]
1675285748.2351344 ,[0.03310704] ,[0.43840375] ,[0.08506216]
1675285748.255859 ,[0.03282287] ,[0.43558089] ,[0.08529468]
1675285748.274756 ,[0.0329692] ,[0.43828421] ,[0.08515689]
1675285748.2938213 ,[0.03375596] ,[0.44051286] ,[0.0847642]
1675285748.313635 ,[0.03438534] ,[0.44229574] ,[0.08440237]
1675285748.3348298 ,[0.03421918] ,[0.44359237] ,[0.0846004]
1675285748.3546953 ,[0.03408627] ,[0.44462964] ,[0.08478289]
1675285748.3737297 ,[0.03397996] ,[0.44549111] ,[0.08481818]
1675285748.393401 ,[0.03389494] ,[0.44621218] ,[0.08471786]
1675285748.4120076 ,[0.03382695] ,[0.446789] ,[0.08462543]
1675285748.4307969 ,[0.03407564] ,[0.44245181] ,[0.08422099]
1675285748.4506125 ,[0.03427459] ,[0.43898239] ,[0.08384835]
1675285748.4689355 ,[0.03443375] ,[0.43617468] ,[0.08363916]
1675285748.4881787 ,[0.03456108] ,[0.43389659] ,[0.08358059]
1675285748.5074937 ,[0.03466294] ,[0.43207444] ,[0.08352663]
